user_id,joke_id,rating
5,7,-4.45
38,7,-10.0
87,7,-5.76
91,7,9.04
109,7,0.0
124,7,-5.47
159,7,8.65
161,7,-10.0
192,7,2.17
200,7,8.72
215,7,-10.0
223,7,-10.0
224,7,2.32
245,7,0.0
246,7,-7.48
258,7,-2.55
297,7,3.66
298,7,-1.54
307,7,3.01
323,7,0.0
343,7,2.15
392,7,0.0
405,7,-7.64
444,7,-4.43
506,7,9.29
510,7,3.41
573,7,0.0
587,7,0.0
644,7,-4.67
653,7,-1.38
677,7,5.08
687,7,-10.0
713,7,0.0
718,7,-4.88
788,7,9.14
797,7,-3.29
798,7,-3.19
800,7,-10.0
801,7,-9.88
812,7,7.07
817,7,7.83
820,7,-8.9
827,7,5.49
837,7,-6.91
866,7,4.8
876,7,0.0
889,7,-2.23
898,7,5.06
920,7,5.67
929,7,1.63
940,7,0.0
972,7,3.05
1008,7,10.0
1021,7,-9.35
1045,7,-10.0
1061,7,-9.15
1081,7,9.39
1094,7,9.13
1097,7,-10.0
1136,7,2.85
1148,7,1.34
1195,7,-8.46
1200,7,0.0
1222,7,-5.81
1232,7,-8.76
1257,7,0.0
1269,7,0.0
1270,7,-3.21
1283,7,-8.62
1296,7,7.24
1305,7,10.0
1321,7,2.89
1343,7,9.31
1356,7,7.74
1363,7,-1.04
1364,7,-9.76
1365,7,-9.59
1367,7,0.0
1372,7,-10.0
1376,7,-3.05
1378,7,-7.85
1385,7,-4.02
1408,7,-3.19
1423,7,5.96
1453,7,0.0
1455,7,0.0
1461,7,10.0
1471,7,-10.0
1475,7,-2.93
1477,7,4.27
1498,7,0.0
1695,7,-9.23
1702,7,10.0
1720,7,1.83
1758,7,-10.0
1789,7,4.29
1802,7,-3.98
1819,7,10.0
1827,7,3.05
1843,7,0.0
1862,7,4.61
1875,7,-4.86
1879,7,6.3
2077,7,1.95
2177,7,-5.49
2181,7,0.0
2224,7,0.0
2249,7,4.31
2307,7,-3.13
2316,7,0.0
2319,7,1.14
2330,7,-6.91
2360,7,6.95
2361,7,10.0
2374,7,-2.8
2391,7,0.0
2398,7,1.57
2426,7,-10.0
2440,7,-10.0
2451,7,0.0
2516,7,0.0
2528,7,9.02
2532,7,0.0
2533,7,-4.67
2534,7,10.0
2536,7,0.0
2540,7,-10.0
2585,7,3.01
2626,7,-0.63
2627,7,0.79
2633,7,0.0
2647,7,10.0
2682,7,10.0
2722,7,-1.7
2724,7,0.0
2786,7,6.87
2791,7,10.0
2820,7,3.4
2853,7,-8.46
2860,7,0.0
2922,7,0.0
2932,7,7.09
2933,7,-10.0
2948,7,-8.51
2982,7,0.0
2983,7,6.1
3026,7,-2.83
3036,7,-4.27
3048,7,0.0
3066,7,7.44
3071,7,9.02
3130,7,-10.0
3154,7,-10.0
3219,7,-7.64
3249,7,0.0
3252,7,-3.72
3253,7,-7.99
3259,7,0.0
3274,7,-7.11
3293,7,0.0
3294,7,-10.0
3339,7,-9.9
3373,7,-9.47
3382,7,-9.13
3418,7,0.0
3437,7,-4.91
3454,7,0.0
3491,7,-2.13
3498,7,0.56
3500,7,0.0
3571,7,5.37
3592,7,-5.08
3611,7,-9.59
3687,7,0.0
3763,7,10.0
3790,7,2.3
3840,7,0.0
3877,7,0.0
3905,7,2.72
3951,7,0.0
3959,7,0.0
4140,7,-6.46
4197,7,-9.57
4225,7,6.63
4345,7,-7.24
4392,7,-6.26
4451,7,-10.0
4463,7,-10.0
4475,7,0.41
4476,7,9.35
4544,7,-6.91
4549,7,-9.72
4620,7,-10.0
4686,7,-2.52
4709,7,-6.38
4852,7,0.0
4896,7,-1.5
4943,7,0.0
4974,7,1.71
5022,7,0.0
5036,7,0.0
5040,7,2.72
5042,7,0.0
5061,7,-9.13
5066,7,0.0
5117,7,-4.88
5338,7,-10.0
5359,7,10.0
5377,7,1.67
5383,7,8.17
5391,7,-5.16
5393,7,-10.0
5397,7,6.19
5408,7,-10.0
5471,7,-4.15
5550,7,8.67
5567,7,-2.91
5569,7,-4.07
5616,7,-10.0
5629,7,0.0
5669,7,-4.24
5691,7,0.15
5698,7,0.0
5706,7,-6.85
5741,7,5.07
5857,7,0.0
5905,7,-9.67
5917,7,0.0
5975,7,6.39
5980,7,-10.0
5992,7,-5.16
6111,7,-2.52
6127,7,-10.0
6142,7,0.0
6152,7,0.0
6164,7,-9.3
6177,7,0.53
6195,7,0.0
6220,7,0.0
6346,7,6.29
6383,7,0.0
6402,7,0.0
6507,7,-9.51
6512,7,-9.59
6642,7,-9.31
6644,7,-10.0
6682,7,0.0
6689,7,-9.61
6692,7,-10.0
6700,7,-9.71
6720,7,0.0
6823,7,-10.0
6841,7,-5.49
6873,7,-10.0
6919,7,-4.45
6977,7,-3.58
6982,7,7.76
6993,7,-10.0
